Gene	Astrocyte_Fidelity	Microglia_Fidelity	Oligodendrocyte_Fidelity	Neuron_Fidelity
VWF	27.08975842	25.21520148	38.08558725	3.475976261
CRX	-2.231354672	-9.084287332	-10.88782418	-5.154326558
GDF5	-8.2685558	11.54853919	0.8669885626	-4.357879609
HBA1	26.28132742	5.846870647	12.00093794	-0.9867994716
C8A	1.641224996	-3.746037897	-7.310800201	-2.750878549
IL5RA	6.163282799	-3.336781058	-6.706188463	-0.781521382
IL6R	18.92765713	38.48296094	26.78838813	-1.323009239
FCGR1A	7.402008998	87.59573463	26.97216945	8.392703122
FCGR3A	5.261595643	81.53165809	25.02455418	5.547385132
IL10	4.428520632	15.6691386	3.356106692	1.14863102
CD55	11.9096219	30.82082876	55.5861553	20.16444381
IL1A	5.084352186	13.12637921	4.687401814	3.782840735
IL1B	3.287269398	36.73760082	12.4901503	4.858310283
GC	2.752590943	-5.722482783	-3.893733423	-4.457000433
IL15	6.881761512	12.78903617	-0.6671783836	3.07214474
IL2	6.441594866	-5.642381391	-3.343824548	1.129561924
C7	15.93298851	21.02609557	9.856441066	7.739003522
IL4	3.736785728	-2.113494825	-2.434314811	1.244322943
IL9	-0.1736589509	-7.873594857	-6.137834849	-4.485034774
CD14	10.2463511	61.78174599	15.63565422	7.472977251
TAP1	33.5120034	28.55497977	34.65670731	-3.453443253
TNF	6.233790389	10.51536789	8.263857562	-4.329206638
LTA	0.5609730089	9.266002248	2.193777174	-4.960227286
IGFBP1	-4.726296959	9.593441763	0.2902369094	-1.350817432
IGFBP2	-0.2539629899	15.14900589	6.432341281	3.43794957
IGFBP3	9.959573696	9.220240961	1.088356305	13.63145082
IL6	8.538924054	7.406365246	2.3369061	-0.9182743068
HGF	30.69145174	20.73575502	6.085626945	24.43093492
NOS3	15.0060673	19.28650861	12.99198982	5.116174176
C8G	-0.1261300906	6.478635139	10.10421682	-10.32440734
CD44	29.34469662	26.55216624	24.89975047	-8.123967464
IGF2	22.9586727	18.32131393	22.81392639	10.86909913
HPX	5.23441314	4.808983885	-0.6325804664	2.71614437
CD4	20.62194934	45.42221547	18.8406799	11.20278125
IGF1	6.586033356	20.98490854	15.24563054	47.76304423
BDKRB2	-4.593426055	12.73138711	13.38606422	3.878490593
CD79B	8.46519381	0.1402286968	-0.7642567428	-0.1647357896
LTBP1	39.53385815	19.78935549	27.78459944	0.7260939326
IL10RB	11.90809775	36.64713033	38.99035814	5.67519495
IFNAR1	16.48108285	12.82079973	23.13673001	35.91655359
NCF4	4.425593163	45.64367147	13.60786443	1.020198562
ITGAM	6.286397316	98.28401196	34.3901289	4.975755977
BCL2	85.69526139	11.26467129	17.60214915	20.10866973
SOD2	13.00239373	25.38672656	16.50471838	29.78274414
GSR	15.59285787	4.288204532	4.484407554	46.90186008
VTN	0.767925027	4.623164866	0.1321124619	3.253434216
